t,E1,Emass,Ebound,delta,5,6,Model,Res,nCells
3.0,0.008527,4.28e-15,2.2039999999999997e-60,0.03213,8044.0,6.195e-05,isoAlpha,16,31.123560535325243
3.0,0.003413,4.718e-16,2.22e-16,0.01584,68000.0,7.37e-06,isoAlpha,32,63.131313131313135
3.0,0.008184,3.882e-15,2.22e-16,0.03213,8044.0,6.195e-05,plicRDF,16,31.123560535325243
3.0,0.003554,5.031e-16,2.22e-16,0.01584,68000.0,7.37e-06,plicRDF,32,63.131313131313135
3.0,0.01168,2.619e-16,3.601e-10,0.03213,8044.0,6.195e-05,MULES,16,31.123560535325243
3.0,0.007411,1.665e-16,5.548e-09,0.01584,68000.0,7.37e-06,MULES,32,63.131313131313135
