Method,Resolution,totalTime
isoAlpha,x32,4.149207136
isoAlpha,x64,43.887544992
isoAlpha,x128,598.67517601
plicRDF,x32,15.267193819
plicRDF,x64,138.372151936
plicRDF,x128,1341.453379079
MULES,x32,7.236127238
MULES,x64,193.176592365
MULES,x128,3359.143658256
