LNormal_1,LNormal_Inf,LCentre_1,LCentre_Inf,delta,nCells,Model,Res
1.35108699092376,0.130670037016823,0.0335335440701295,0.0130914995695533,0.069395986210635,1587.0,isoAlpha,8
1.16518149086129,0.0540629604793137,0.00835096304522018,0.00287874540742308,0.0322996440285931,15939.0,isoAlpha,16
1.28198728154962,0.0391716596925495,0.00521391178127723,0.000676418649356603,0.0158608852527121,135135.0,isoAlpha,32
1.40719440452174,0.037879999923282,0.00243657767536432,0.000165365598396219,0.00784794011395744,1118533.0,isoAlpha,64
0.130023218615332,0.0144254104640136,0.0334489010653405,0.0138300706999518,0.069395986210635,1587.0,plicRDF,8
0.0409119565915068,0.00390926831982311,0.0075466347569223,0.00300766190990251,0.0322996440285931,15939.0,plicRDF,16
0.00965184419189913,0.000906673448220666,0.00192329368897703,0.000701934400809188,0.0158608852527121,135135.0,plicRDF,32
0.0024106495445132,0.000222784517193725,0.000476462656151838,0.000169441910148417,0.00784794011395744,1118533.0,plicRDF,64
0.179298825725087,0.0317763996055946,0.0334217949611598,0.013551891323265,0.069395986210635,1587.0,gradAlpha,8
0.137062113373255,0.0120042118519951,0.00759811640968139,0.00295475064745647,0.0322996440285931,15939.0,gradAlpha,16
0.1554850599039,0.00719295883425742,0.00271122829314036,0.000688723732623329,0.0158608852527121,135135.0,gradAlpha,32
0.144570179383873,0.00610199125039435,0.00172088295294975,0.000166558481363582,0.00784794011395744,1118533.0,gradAlpha,64
