LNormal_1,LNormal_Inf,LCentre_1,LCentre_Inf,delta,nCells,Model,Res
0.176284290911866,0.0158910278351441,0.0233127873239153,0.00976112986490638,0.160207133316533,120.0,isoAlpha,8
0.0540145319606953,0.00432858155399,0.00431474159113332,0.00219044078338883,0.0750501758376251,544.0,isoAlpha,16
0.0338989793658121,0.00244389851020402,0.0010260700592441,0.000505017980599434,0.0369521270728505,2254.0,isoAlpha,32
0.0262856316295906,0.0018702170929575,0.000247939439921352,0.000122426857043508,0.0182321956592347,9260.0,isoAlpha,64
0.0230821479998462,0.00168611957615428,6.34037791087394e-05,3.023739915385e-05,0.00906686199353246,37446.0,isoAlpha,128
0.0212395075971483,0.00163048489074194,1.75208392061976e-05,7.50394555188959e-06,0.00452340176985602,150474.0,isoAlpha,256
0.020532760475915,0.00159013547208731,5.20895503369756e-06,1.91988915358715e-06,0.00225915701470351,603272.0,isoAlpha,512
0.0393510889881974,0.00474980529207077,0.0232735551880321,0.00991908561701984,0.160207133316533,120.0,plicRDF,8
0.00829806473923822,0.00104124552384714,0.00431479157557307,0.002228661003217,0.0750501758376251,544.0,plicRDF,16
0.0019399932272729,0.000233735211294471,0.00102591732208518,0.00051410731924769,0.0369521270728505,2254.0,plicRDF,32
0.00047527323111618,5.64804254878034e-05,0.000247978164085394,0.000124519217692008,0.0182321956592347,9260.0,plicRDF,64
0.000120277627073673,1.37032224708075e-05,6.17129171385233e-05,3.0835657721049e-05,0.00906686199353246,37446.0,plicRDF,128
3.10933066017816e-05,3.37978598205636e-06,1.53024511526656e-05,7.65243976449608e-06,0.00452340176985602,150474.0,plicRDF,256
7.55152596809694e-06,8.35364498008479e-07,3.81034628760268e-06,1.90903600136178e-06,0.00225915701470351,603272.0,plicRDF,512
0.06454062603515,0.0107192776645351,0.0233518605785276,0.00978463593049058,0.160207133316533,120.0,gradAlpha,8
0.0328875499441902,0.00422495013960317,0.00431422163786649,0.00217920537019763,0.0750501758376251,544.0,gradAlpha,16
0.0220494181726062,0.00273248789938521,0.00102606388666526,0.000502249587159279,0.0369521270728505,2254.0,gradAlpha,32
0.0176160601530755,0.00231376351055331,0.000247926563982315,0.000121687430100424,0.0182321956592347,9260.0,gradAlpha,64
0.0155058615463867,0.0022258840833451,6.60999695204501e-05,3.00694037815609e-05,0.00906686199353246,37446.0,gradAlpha,128
0.014463067318188,0.00218780953913061,1.8965288126227e-05,7.43931691982483e-06,0.00452340176985602,150474.0,gradAlpha,256
0.0139402657824121,0.00217129072266758,6.04145422716806e-06,1.97285654392342e-06,0.00225915701470351,603272.0,gradAlpha,512
