t,E1,Emass,Ebound,delta,5,6,Model,CFL,Res,nCells
0.5,0.00024608010038003103,1.0269562977782698e-15,5.773159728050815e-15,0.007267144849352045,14572.0,6.862475981334145e-05,isoAlpha,CFL02,80,137.60562376696842
0.5,0.00011878211508438107,7.993605777301127e-15,2.2204460492503126e-16,0.003624693762135384,58588.0,1.7068341639923633e-05,isoAlpha,CFL02,160,275.8853755995317
0.5,0.0037118021073526894,5.551115123125784e-17,2.2204460492503127e-15,0.062121995607097774,198.0,0.005050505050505048,isoAlpha,CFL05,10,16.097357952321556
0.5,0.0013438019824857244,4.163336342344337e-17,4.555697194773536e-15,0.030088627967210856,850.0,0.001176470588235295,isoAlpha,CFL05,20,33.23514788011444
0.5,0.0006773736697917119,5.551115123125784e-17,2.9448907400348896e-15,0.01471350682318831,3552.0,0.00028153153153153137,isoAlpha,CFL05,40,67.96476271883817
0.5,0.00039984812556608407,2.7755575615628914e-16,7.567280135845074e-15,0.007267144849352045,14572.0,6.862475981334145e-05,isoAlpha,CFL05,80,137.60562376696842
0.5,0.00021819271879613703,4.385380947269368e-15,1.1102230246251563e-15,0.003624693762135384,58588.0,1.7068341639923633e-05,isoAlpha,CFL05,160,275.8853755995317
0.5,0.004521939827090521,1.3877787807814457e-17,1.8480624250418663e-16,0.062121995607097774,198.0,0.005050505050505048,plicRDF,CFL005,10,16.097357952321556
0.5,0.0013278674290762935,5.551115123125784e-17,1.3079675636803033e-13,0.030088627967210856,850.0,0.001176470588235295,plicRDF,CFL005,20,33.23514788011444
0.5,0.0003309421871069186,1.3877787807814454e-16,1.9451695419797745e-13,0.01471350682318831,3552.0,0.00028153153153153137,plicRDF,CFL005,40,67.96476271883817
0.5,7.98030279987447e-05,2.248201624865942e-15,1.4654943925052066e-13,0.007267144849352045,14572.0,6.862475981334145e-05,plicRDF,CFL005,80,137.60562376696842
0.5,2.0179619013702334e-05,2.506328478091291e-14,1.5988485292591656e-34,0.003624693762135384,58588.0,1.7068341639923633e-05,plicRDF,CFL005,160,275.8853755995317
0.5,0.004225724445325087,0.0,7.165642687391376e-15,0.062121995607097774,198.0,0.005050505050505048,plicRDF,CFL01,10,16.097357952321556
0.5,0.001222281869603032,1.249000902703301e-16,2.312650669644158e-16,0.030088627967210856,850.0,0.001176470588235295,plicRDF,CFL01,20,33.23514788011444
0.5,0.00030564295100800445,1.942890293094024e-16,4.3387515802351123e-13,0.01471350682318831,3552.0,0.00028153153153153137,plicRDF,CFL01,40,67.96476271883817
0.5,7.554049419667105e-05,1.27675647831893e-15,5.10702591327572e-15,0.007267144849352045,14572.0,6.862475981334145e-05,plicRDF,CFL01,80,137.60562376696842
