Method,Resolution,totalTime
isoAlpha,x32,0.525045582
isoAlpha,x64,2.515741792
isoAlpha,x128,12.505424302
isoAlpha,x256,79.714820406
isoAlpha,x512,615.973325831
plicRDF,x32,2.260529493
plicRDF,x64,7.739663606
plicRDF,x128,34.834153317
plicRDF,x256,167.239555936
plicRDF,x512,1034.062370048
MULES,x32,0.637084611
MULES,x64,2.877483167
MULES,x128,31.461187105
MULES,x256,285.472596086
MULES,x512,3601.802007822
