Method,Resolution,totalTime
isoAlpha,x32,31.182859363
isoAlpha,x64,610.967787656
plicRDF,x32,254.877001159
plicRDF,x64,4245.463146173
MULES,x32,94.838963205
MULES,x64,4468.455567373
