t,E1,Emass,Ebound,delta,5,6,Model,Res,nCells
3.0,0.006989,1.861e-15,2.22e-16,0.01585,33650.0,7.4e-06,isoAlpha,32,63.09148264984227
3.0,0.002208,4.181e-15,2.22e-16,0.007847,279600.0,8.94e-07,isoAlpha,64,127.43723716069836
3.0,0.007528,1.114e-15,2.22e-16,0.01585,33650.0,7.4e-06,plicRDF,32,63.09148264984227
3.0,0.002248,4.248e-15,2.22e-16,0.007847,279600.0,8.94e-07,plicRDF,64,127.43723716069836
3.0,0.01161,3.438e-15,4.442e-06,0.01585,33650.0,7.4e-06,MULES,32,63.09148264984227
3.0,0.008352,2.385e-15,1.341e-06,0.007847,279600.0,8.94e-07,MULES,64,127.43723716069836
