Method,Resolution,totalTime
isoAlpha,x32,0.242630076
isoAlpha,x64,1.062449952
isoAlpha,x128,4.43650944
isoAlpha,x256,22.832094301
isoAlpha,x512,152.282639439
plicRDF,x32,1.037543248
plicRDF,x64,3.782554796
plicRDF,x128,14.406702074
plicRDF,x256,54.217308134
plicRDF,x512,275.533967781
MULES,x32,0.28905891
MULES,x64,1.069152904
MULES,x128,6.379024953
MULES,x256,50.885745545
MULES,x512,532.288541676
