t,E1,Emass,Ebound,delta,5,6,Model,Res,nCells
3.0,0.004281,1.683e-16,4.337e-19,0.0419,8192.0,6.104e-05,isoAlpha,32,23.86634844868735
3.0,0.001245,7.026e-16,2.22e-16,0.02089,65540.0,7.629e-06,isoAlpha,64,47.86979415988512
3.0,0.005616,1.995e-16,2.22e-16,0.0419,8192.0,6.104e-05,plicRDF,32,23.86634844868735
3.0,0.001506,8.5e-16,2.22e-16,0.02089,65540.0,7.629e-06,plicRDF,64,47.86979415988512
3.0,0.00705,2.55e-16,0.0003898,0.0419,8192.0,6.104e-05,MULES,32,23.86634844868735
3.0,0.003698,1.405e-16,0.002947,0.02089,65540.0,7.629e-06,MULES,64,47.86979415988512
