LNormal_1,LNormal_Inf,LCentre_1,LCentre_Inf,delta,nCells,Model,Res
0.116263954997586,0.0141784042429241,0.0240064133497615,0.0136311251425511,0.125,512.0,isoAlpha,8
0.0342238778068998,0.00339815764027919,0.00577318449693023,0.00349857193481069,0.0625,4096.0,isoAlpha,16
0.0120779742356457,0.000932373983001849,0.00145010643206811,0.000885947031014947,0.03125,32768.0,isoAlpha,32
0.00600798573516548,0.00038216460819062,0.000362788035241812,0.00022202786056395,0.015625,262144.0,isoAlpha,64
0.00384474990112105,0.00025034138928609,9.11599618067249e-05,5.552157192413e-05,0.0078125,2097152.0,isoAlpha,128
0.0806257710710307,0.00654238199529063,0.0239427514661978,0.0138419710864561,0.125,512.0,plicRDF,8
0.0134461061564527,0.00110305067210189,0.00577325726509922,0.00352590903265132,0.0625,4096.0,plicRDF,16
0.00348829220111002,0.000228897181664947,0.00144982230174648,0.000890123965361871,0.03125,32768.0,plicRDF,32
0.00103079120002791,5.76582690595978e-05,0.000362665647633126,0.000222851714557888,0.015625,262144.0,plicRDF,64
0.000222123904388583,1.21545813245037e-05,9.11447222231021e-05,5.57040346223312e-05,0.0078125,2097152.0,plicRDF,128
0.0993883231002866,0.0114570037302224,0.0239437985452857,0.0137351671008489,0.125,512.0,gradAlpha,8
0.028484756744507,0.00350813263745911,0.00577307899951426,0.00354093777331422,0.0625,4096.0,gradAlpha,16
0.00931787821517072,0.00237191127276554,0.00144982123920892,0.000898281314997586,0.03125,32768.0,gradAlpha,32
0.00804800985044907,0.00221893513143408,0.000362556953624471,0.000225239745386644,0.015625,262144.0,gradAlpha,64
0.00831006124931455,0.00218618529799941,0.000104126367319435,5.63332423086697e-05,0.0078125,2097152.0,gradAlpha,128
